Tiempo (s),Temperatura (°C),Estado Servo
184.73,50.75,Cerrado
184.91,50.75,Cerrado
185.11,51.00,Cerrado
185.32,50.75,Cerrado
185.51,50.75,Cerrado
185.72,51.25,Cerrado
186.41,50.75,Cerrado
186.62,50.75,Cerrado
186.81,51.50,Cerrado
187.31,51.00,Cerrado
187.42,51.00,Cerrado
187.63,51.50,Cerrado
187.83,51.75,Cerrado
188.35,51.75,Cerrado
188.44,51.75,Cerrado
188.65,51.00,Cerrado
188.84,51.75,Cerrado
189.35,51.75,Cerrado
189.45,51.75,Cerrado
189.66,52.00,Cerrado
189.87,51.75,Cerrado
190.38,52.00,Cerrado
190.47,52.00,Cerrado
190.68,52.00,Cerrado
190.87,52.25,Cerrado
191.43,52.25,Cerrado
191.51,52.25,Cerrado
191.70,52.25,Cerrado
191.90,52.25,Cerrado
192.47,52.75,Cerrado
192.60,52.75,Cerrado
192.71,52.75,Cerrado
192.92,52.75,Cerrado
193.13,52.00,Cerrado
193.32,52.50,Cerrado
193.53,53.00,Cerrado
194.07,52.75,Cerrado
194.20,52.75,Cerrado
194.34,52.75,Cerrado
194.55,52.75,Cerrado
195.10,53.00,Cerrado
195.24,53.00,Cerrado
195.37,53.00,Cerrado
195.57,53.00,Cerrado
196.13,53.00,Cerrado
196.26,53.00,Cerrado
196.39,53.00,Cerrado
196.58,53.50,Cerrado
197.16,53.75,Cerrado
197.29,53.75,Cerrado
197.41,53.75,Cerrado
197.61,53.75,Cerrado
198.21,53.75,Cerrado
198.42,54.00,Cerrado
198.63,54.00,Cerrado
199.25,54.00,Cerrado
199.44,54.25,Cerrado
199.65,53.75,Cerrado
200.29,54.50,Cerrado
200.47,54.50,Cerrado
200.66,54.50,Cerrado
200.88,54.25,Cerrado
201.06,54.50,Cerrado
201.28,54.75,Cerrado
201.86,54.50,Cerrado
201.99,54.50,Cerrado
202.12,54.50,Cerrado
202.31,54.75,Cerrado
202.90,55.00,Cerrado
203.03,55.00,Cerrado
203.15,55.00,Cerrado
203.33,55.00,Cerrado
203.91,54.75,Cerrado
204.03,54.75,Cerrado
204.16,54.75,Cerrado
204.35,55.00,Cerrado
204.95,55.25,Cerrado
205.05,55.25,Cerrado
205.20,55.50,Cerrado
205.36,55.50,Cerrado
205.99,55.50,Cerrado
206.08,55.50,Cerrado
206.22,55.75,Cerrado
206.40,55.75,Cerrado
207.03,55.25,Cerrado
207.22,56.00,Cerrado
207.41,55.25,Cerrado
207.62,56.25,Cerrado
208.08,55.75,Cerrado
208.22,55.75,Cerrado
208.43,56.25,Cerrado
